 Script Name, Automation Percentage,Automation Percentage New
 MERCURY_MIN_INVENTORY_HISTORY_LOAD,98,98
 MERCURY_MIN_RANGE_LOAD,97,97
 MERCURY_MONTHLYPROCESSCUSTOMERLONGEVITY,100,100
 MERCURY_MONTHLY_AMDOCS_AR9_ACCOUNTANALYSIS_REPORT_LOAD,100,100
 MERCURY_MONTHLY_FLASH_CHURN_ESN_USAGE_SNAPSHOT,100,100
 MERCURY_MONTHLY_FLASH_CHURN_USAGE_DETAIL,100,100
 MERCURY_MPCS_KRONOS_LABOR_DATA_LOAD,100,100
 MERCURY_NAMEID_REGISTRATION_LOAD,100,100
 MERCURY_NEGATIVE_ESN_LOAD,98,98
 MERCURY_NEUSTAR_DM_BAN_RULES_LOAD,100,100
 MERCURY_NUMBER_GROUP_LOAD,97,97
 MERCURY_NZ_ORDER_LOAD,97,97
 MERCURY_OIM_USR_LOAD,100,100
 MERCURY_ORACLE_INVENTORY_SALES_RETURNS_EXTRACT,100,100
 MERCURY_ORACLE_INVENTORY_SALES_RETURNS_EXTRACT_03232021,100,100
 MERCURY_ORACLE_ITEM_MASTER_LOAD,100,100
 MERCURY_ORDER_LINE_LOAD,97,97
 MERCURY_ORDER_TYPE_LOAD,97,97
 MERCURY_OVERRIDE_DETAILS_LOAD,97,97
 MERCURY_PARAM_VALUES_LOAD,98,98
 MERCURY_PARTNER_SER_REG_LOAD,98,98
 MERCURY_PARTNER_SUBSCRIBER_REGISTRATION_SNAPSHOT_LOAD,100,100
 MERCURY_PARTNER_SUBSCRIBER_REGISTRATION_SNAPSHOT_LOAD_02252021,100,100
 MERCURY_PAYMENT_ATTRIBUTES_HISTORY_LOAD,98,98
 MERCURY_PAYMENT_LOAD2,97,97
 MERCURY_PAYMENT_METHOD_LOAD,97,97
 MERCURY_PAYMENT_PAYMENTECH_LOAD,98,98
 MERCURY_PAYMENT_RETAIL_DECISION_LOAD,98,98
 MERCURY_PAYMENT_SUB_METHOD_LOAD,97,97
 MERCURY_PLANT_STORE_XREF_LOAD,98,98
 MERCURY_PMT_FNCL_TRANSACTION_CLEANUP_LOAD,98,98
 MERCURY_PMT_FNCL_TRANSACTION_LOAD,97,97
 MERCURY_PMT_PRE_AUTHORIZATION_CLEANUP_LOAD,98,98
 MERCURY_PMT_PRE_AUTHORIZATION_LOAD,100,100
 MERCURY_PMT_SAVED_PAYMENT_METHOD_CLEANUP_LOAD,100,100
 MERCURY_PMT_SAVED_PAYMENT_METHOD_LOAD,100,100
 MERCURY_PMT_SPM_REPOSITORY_CLEANUP_LOAD,100,100
 MERCURY_PMT_SPM_REPOSITORY_LOAD,100,100
 MERCURY_PORTSTATUS_LOAD,97,97
 MERCURY_PORT_REQUEST_LOAD,97,97
 MERCURY_POSDETAILSUBMITLOG_LOAD,98,98
 MERCURY_POS_DETAIL_PROP_DVC_TRADEIN,100,100
 MERCURY_POS_DVC_TRADEIN_QR_EXTRACT_TMP,100,100
 MERCURY_POS_FUNDS_ACCOUNT_LOAD,98,98
 MERCURY_POS_INVENTORY_SUMMARY_DAILY_LOAD,100,100
 MERCURY_POS_PAYMENTS_LOAD,98,98
 MERCURY_POS_PAYMENT_TYPES_LOAD,98,
 MERCURY_PP_RC_RATE_LOAD,100,
 MERCURY_PRAMDOCS_10450TAXADJBYADJCODE,100,100
 MERCURY_PRAMDOCS_136MISSINGESNAUDIT,99,99
 MERCURY_PRAMDOCS_150609_SERVICE_TAX_DEFERRAL_RECLASS,100,100
 MERCURY_PRAMDOCS_185POSRETDISC,0,0
 MERCURY_PRAMDOCS_188586_CREDITARAGINGBALANCEREPORT,100,100
 MERCURY_PRAMDOCS_90DEALERESNSWAPAUDIT,99,99
 MERCURY_PRAMDOCS_ACCOUNTANALYSISDECOMP,99,99
 MERCURY_PRAMDOCS_CREATEDAILYESNSWAPSNAPSHOT,98,98
 MERCURY_PR_AMDOCS_FAST_ACCOUNT_ANALYSIS,99,99
